股票代號,日期,資金流向,MFI(%)
6451,2022-04-18,-6804000,26.14
6449,2022-04-18,-330000,20.14
6446,2022-04-18,-11547000,43.30
6443,2022-04-18,1041310000,61.46
6442,2022-04-18,-693000,46.23
6441,2022-04-18,1560000,51.99
6469,2022-04-18,51424000,59.69
6645,2022-04-18,5997000,55.28
6498,2022-04-18,-326000,37.83
6504,2022-04-18,-464000,30.90
6546,2022-04-18,762000,51.37
6545,2022-04-18,71000,55.97
6542,2022-04-18,257000,52.67
6541,2022-04-18,-7703000,36.00
6539,2022-04-18,201000,67.00
6538,2022-04-18,1116000,56.39
6535,2022-04-18,4885000,73.57
6534,2022-04-18,1340000,67.38
6533,2022-04-18,7414000,54.78
6532,2022-04-18,368000,63.98
6531,2022-04-18,69005000,55.69
6499,2022-04-18,665000,50.72
